"","class","posterior.P","posterior.S","LD1"
"1","S",0.266880637131047,0.733119362868953,1.19335463538839
"2","S",0.317671695935036,0.682328304064964,0.963528915465619
"3","S",0.236276242863729,0.763723757136271,1.34534591963895
"4","P",0.641786853859421,0.358213146140579,-0.295412342307737
"5","P",0.549454949236868,0.450545050763132,0.0639347481195189
"6","S",0.198867528318136,0.801132471681864,1.55103982197287
"7","S",0.333829414789294,0.666170585210706,0.894793754315872
"8","S",0.28845628026695,0.71154371973305,1.0928223895696
"9","S",0.0804562365721302,0.91954376342787,2.52519742786966
"10","S",0.178021557368875,0.821978442631125,1.67848477219941
"11","S",0.233077525298227,0.766922474701773,1.36198402581898
"12","S",0.321710970031317,0.678289029968683,0.946178549372395
"13","S",0.321933156501108,0.678066843498892,0.945227515475717
"14","P",0.837143736734032,0.162856263265968,-1.28005432433269
"15","P",0.630359909020618,0.369640090979382,-0.249293979393778
"16","P",0.656163410642621,0.343836589357379,-0.354374372627785
"17","P",0.897710286616169,0.102289713383831,-1.77976538185037
"18","P",0.976977170212314,0.0230228297876864,-3.25200046031753
"19","P",0.731461245919279,0.268538754080721,-0.686766472130784
"20","P",0.570855812990865,0.429144187009135,-0.0172234875487203
"21","P",0.959898819531289,0.0401011804687113,-2.71712220249737
"22","S",0.412173103516114,0.587826896483886,0.580972630671557
"23","S",0.489058938298357,0.510941061701643,0.290234254524641
"24","P",0.978551748901904,0.0214482510980963,-3.3196863007855
"25","P",0.561483135268239,0.438516864731761,0.0184256346467029
"26","P",0.847563391174555,0.152436608825445,-1.35337841847543
"27","P",0.864342349858261,0.135657650141739,-1.48063239389208
"28","P",0.739098440583344,0.260901559416656,-0.723423328626067
"29","S",0.126127793156243,0.873872206843757,2.05760846973598
